legajo,nombre,apellido,email,genero,nota_1p,nota_2p,nota_final,nivel,instructor
84,Elysee,Pavlov,epavlov2b@netlog.com,1,2.58,9.72,8.49,5,9
85,Constancy,Gillebride,cgillebride2c@networkadvertising.org,1,4.63,4.96,6.85,3,15
86,Nikita,Haugeh,nhaugeh2d@about.com,2,4.58,7.58,7.12,1,9
87,Isa,McCarrick,imccarrick2e@wired.com,2,3.99,2.00,01.02,3,1
88,Gleda,Feldon,gfeldon2f@icio.us,1,7.64,3.28,2.75,2,19
89,Bendix,Eggleston,beggleston2g@samsung.com,2,2.15,4.52,,4,6
90,Hieronymus,Eliot,heliot2h@uol.com.br,5,9.15,5.59,5.57,3,9
91,Corney,Djakovic,cdjakovic2i@si.edu,2,6.42,7.56,8.60,3,7
92,Junette,Duchateau,jduchateau2j@alexa.com,1,8.12,5.84,2.23,5,2
93,Adrien,Mahmood,amahmood2k@trellian.com,2,6.57,2.65,9.32,1,5
94,Lesley,Clampe,lclampe2l@oracle.com,2,8.31,3.87,,1,17
95,Chanda,Tanzig,ctanzig2m@cbslocal.com,1,8.58,5.99,7.21,4,10
96,Quinlan,Roocroft,qroocroft2n@statcounter.com,2,2.13,7.96,8.70,1,20
97,Ezequiel,Sames,esames2o@aol.com,2,1.11,7.54,5.87,3,13
98,Jodee,Strange,jstrange2p@usatoday.com,1,1.78,6.31,,2,16
99,Jen,Boulger,jboulger2q@smh.com.au,1,1.31,1.37,,4,20
100,Odelia,Standall,ostandall2r@elpais.com,1,6.72,9.36,9.46,4,3
101,Casey,Marron,cmarron2s@geocities.com,1,2.69,03.07,,1,5
102,Dot,McBeth,dmcbeth2t@cmu.edu,1,1.32,1.10,07.04,5,14
103,Uta,Domanek,udomanek2u@homestead.com,1,6.67,4.79,8.36,2,14
104,Prudy,Calver,pcalver2v@prnewswire.com,1,4.31,2.91,1.69,2,11
105,Roanna,Ruller,rruller2w@linkedin.com,4,5.12,1.14,1.56,2,17
106,Livvyy,Cunnell,lcunnell2x@berkeley.edu,3,1.23,3.32,3.13,1,16
107,Garv,Clutterham,gclutterham2y@bandcamp.com,3,7.53,4.81,7.87,1,15
108,Nadiya,Barreau,nbarreau2z@storify.com,1,1.73,07.02,1.79,3,9
109,See,Pierro,spierro30@webeden.co.uk,2,5.79,5.12,8.19,1,12
110,Teodor,Vlasyev,tvlasyev31@nymag.com,2,07.08,6.76,8.65,5,18
111,Pall,Bramhill,pbramhill32@sohu.com,2,6.25,7.25,01.05,4,8
112,Markus,Alexsandrovich,malexsandrovich33@pen.io,2,4.86,3.96,,1,14
113,Emmye,Hinksen,ehinksen34@technorati.com,1,9.30,07.03,8.28,3,20
114,Allianora,Sawood,asawood35@joomla.org,1,1.86,5.54,9.92,2,4
115,Kathrine,McKibbin,kmckibbin36@myspace.com,1,1.54,2.40,5.73,3,7
116,Britta,Linklater,blinklater37@noaa.gov,4,3.67,2.69,05.05,4,9
117,Ellynn,Vauter,evauter38@homestead.com,1,9.94,2.88,5.63,4,19
118,Dwayne,Avramow,davramow39@google.nl,2,9.46,9.46,7.72,2,17
119,Rudie,Hansell,rhansell3a@amazon.co.jp,2,2.65,1.67,5.85,3,14
120,Sheffield,Ropking,sropking3b@google.pl,2,5.53,7.19,8.12,4,13
121,Davide,Berr,dberr3c@cyberchimps.com,2,7.43,8.44,5.65,4,2
122,Mitchell,Verna,mverna3d@woothemes.com,2,8.60,8.34,8.80,3,17
123,Maurice,Kinahan,mkinahan3e@gov.uk,2,1.19,3.39,2.87,4,12
124,Burke,Stride,bstride3f@ibm.com,2,6.35,6.97,3.60,2,14
125,Martguerita,Felmingham,mfelmingham3g@xing.com,1,9.53,2.28,1.50,4,11
126,Dalenna,Mussilli,dmussilli3h@seesaa.net,1,8.69,7.00,3.44,5,6
127,Eilis,McElroy,emcelroy3i@go.com,1,2.65,8.94,,4,12
128,Nikaniki,MacCosto,nmaccosto3j@comcast.net,1,3.15,5.19,7.29,5,17
129,Antonia,Matousek,amatousek3k@linkedin.com,1,1.52,5.62,8.22,3,10
130,Lukas,Bulloch,lbulloch3l@homestead.com,2,8.95,5.00,3.44,1,11
131,Andrey,Fraczak,afraczak3m@ft.com,2,04.04,6.12,4.16,4,10
132,Minda,Winslow,mwinslow3n@pbs.org,1,8.50,8.54,7.94,3,4
133,Martainn,Wase,mwase3o@sun.com,2,9.98,7.96,,3,7
134,Arly,Janovsky,ajanovsky3p@51.la,1,05.02,6.67,,5,4
135,Doris,Van de Castele,dvandecastele3q@craigslist.org,1,7.91,8.28,5.32,4,6
136,Saidee,Demaid,sdemaid3r@adobe.com,1,05.02,5.52,6.12,2,2
137,Karna,Hadaway,khadaway3s@i2i.jp,1,9.58,3.34,,5,13
138,Bryana,Carlill,bcarlill3t@dailymotion.com,4,06.06,6.34,1.27,2,13
139,Bobine,Imison,bimison3u@bizjournals.com,1,7.73,8.62,1.46,1,1
140,Felipa,Tuxwell,ftuxwell3v@msn.com,1,8.89,5.16,,1,17
141,Jewelle,Billows,jbillows3w@example.com,1,01.06,8.48,7.22,4,2
142,Tally,Neligan,tneligan3x@imageshack.us,2,7.25,7.11,,2,12
143,Frederick,Le land,fleland3y@jalbum.net,2,9.43,3.89,04.08,4,10
144,Ransell,Kelshaw,rkelshaw3z@arstechnica.com,2,3.32,7.58,02.03,5,6
145,Bernardine,Prover,bprover40@businessinsider.com,1,5.36,8.75,5.15,1,9
146,Livvie,Valentinuzzi,lvalentinuzzi41@w3.org,1,1.74,7.48,2.31,2,19
147,Saree,Sushams,ssushams42@amazon.co.jp,8,4.45,3.92,8.58,4,17
148,Britta,Flips,bflips43@cbsnews.com,1,1.58,6.60,1.80,3,18
149,Artemus,Swett,aswett44@amazon.de,2,4.88,1.87,4.86,4,8
150,Pammy,Wingate,pwingate45@theglobeandmail.com,1,05.05,7.47,8.94,3,20
151,Pieter,Hovie,phovie46@yahoo.com,2,6.60,1.79,2.87,2,11
152,Darrin,Cahan,dcahan47@comsenz.com,2,7.75,3.64,7.25,2,14
153,Oriana,Craister,ocraister48@go.com,1,1.48,8.36,,4,2
154,Blondelle,Frankcom,bfrankcom49@ox.ac.uk,1,7.96,6.65,4.35,2,17
155,Kelcie,Harpin,kharpin4a@last.fm,1,2.93,1.73,,5,7
156,Toddy,Firidolfi,tfiridolfi4b@sohu.com,2,7.87,7.10,3.91,3,4
157,Vonni,Yeabsley,vyeabsley4c@rambler.ru,1,5.27,6.22,4.60,1,15
158,Anjela,Gladdin,agladdin4d@netvibes.com,1,9.15,6.59,6.55,1,9
159,Darb,Cottem,dcottem4e@washingtonpost.com,1,5.24,2.26,,2,1
160,Ephrayim,Pamment,epamment4f@foxnews.com,2,9.14,9.31,4.67,5,11
161,Marcelline,Starte,mstarte4g@woothemes.com,1,9.30,5.56,7.32,4,9
162,Mara,Crippell,mcrippell4h@arizona.edu,1,2.77,02.05,9.25,1,15
163,Peg,Mantha,pmantha4i@home.pl,1,8.54,4.75,9.23,2,10
164,Torrin,Tropman,ttropman4j@ucsd.edu,2,3.58,5.35,5.16,3,18
165,Georges,Leathe,gleathe4k@youku.com,2,03.02,6.29,,3,16
166,Homer,Shillitto,hshillitto4l@nature.com,2,2.78,5.60,9.42,1,6
167,Guillema,Virgo,gvirgo4m@nsw.gov.au,1,8.41,6.31,8.92,2,9
168,Gennifer,Branchflower,gbranchflower4n@drupal.org,3,4.95,9.30,,1,6
169,Jaclin,Shipton,jshipton4o@cisco.com,6,4.22,1.89,,2,3
170,Dilly,Comrie,dcomrie4p@istockphoto.com,2,2.31,5.69,04.06,5,3
171,Enrichetta,Stuer,estuer4q@imdb.com,1,6.46,4.97,9.40,3,19
172,Archy,Bagnal,abagnal4r@gravatar.com,2,6.74,2.72,3.60,1,19
173,Dal,Constance,dconstance4s@ocn.ne.jp,2,5.16,7.56,,1,10
174,Evangelin,Heeran,eheeran4t@people.com.cn,3,1.23,1.67,2.96,2,3
175,Kippar,Simionescu,ksimionescu4u@merriam-webster.com,2,7.88,5.15,9.52,1,7
176,Eddi,Dietz,edietz4v@storify.com,1,9.54,4.60,,3,4
177,Leonerd,Mycock,lmycock4w@edublogs.org,2,5.78,9.55,01.07,2,5
178,Aldric,Eagling,aeagling4x@msn.com,2,5.56,5.94,,2,15
179,Steve,Yallop,syallop4y@google.nl,2,1.85,9.88,03.02,1,16
180,Cyndia,Lorente,clorente4z@multiply.com,1,7.45,4.27,07.08,4,10
181,Scott,Cashmore,scashmore50@nature.com,2,9.24,9.55,1.95,2,18
182,Thatch,Fairhurst,tfairhurst51@dmoz.org,2,9.54,4.31,2.79,2,11
183,Marita,Marchetti,mmarchetti52@yahoo.co.jp,1,2.24,2.27,,4,3
184,Gerard,Freer,gfreer53@symantec.com,2,2.43,8.23,3.48,3,14
185,Dominique,Saladino,dsaladino54@hibu.com,1,3.52,4.10,2.17,3,10
186,Anthia,Hinrichsen,ahinrichsen55@bluehost.com,6,1.12,7.87,2.34,1,17
187,Millard,Guerrero,mguerrero56@kickstarter.com,5,5.10,9.53,3.17,3,12
188,Merrie,Rogeon,mrogeon57@uiuc.edu,1,01.04,3.10,4.62,3,12
189,Stanislaw,Kew,skew58@ihg.com,2,5.39,5.56,1.52,3,1
190,Gayler,Darte,gdarte59@acquirethisname.com,2,8.20,4.57,6.65,2,10
191,Jerrilee,Torricina,jtorricina5a@yolasite.com,1,6.34,7.55,7.67,2,4
192,Peirce,Paddingdon,ppaddingdon5b@reverbnation.com,8,9.96,07.06,1.75,1,17
193,Eben,Deedes,edeedes5c@loc.gov,2,8.73,7.68,9.42,1,6
194,Geri,Kovnot,gkovnot5d@disqus.com,2,8.82,05.07,6.57,4,11
195,Janaya,Cullington,jcullington5e@ustream.tv,1,01.01,7.13,8.83,1,19
196,Dorette,Gobel,dgobel5f@reverbnation.com,1,3.60,4.68,2.67,4,8
197,Paxon,Bedham,pbedham5g@bluehost.com,2,6.58,4.76,1.23,4,1
198,Liza,Gouldstone,lgouldstone5h@time.com,6,9.41,2.11,,2,2
199,Karlyn,Brimblecombe,kbrimblecombe5i@bbb.org,1,2.56,06.02,5.43,3,12
200,Devin,Lebond,dlebond5j@google.com.hk,1,3.49,7.55,6.43,3,13
201,Serena,Avrasin,savrasin5k@deliciousdays.com,1,6.40,2.84,9.27,4,5
202,Yule,Suffe,ysuffe5l@sbwire.com,2,5.73,3.81,,5,2
203,Elspeth,Goward,egoward5m@mozilla.com,1,3.83,07.07,8.58,1,20
204,Jerrylee,Bramsen,jbramsen5n@bloglines.com,1,7.80,09.03,01.07,3,1
205,Kalvin,Caley,kcaley5o@goo.gl,2,2.62,1.75,01.02,1,1
206,Nester,Josskowitz,njosskowitz5p@timesonline.co.uk,2,6.69,8.10,4.30,1,6
207,Sybyl,Daniel,sdaniel5q@indiatimes.com,1,7.94,7.24,3.31,2,19
208,Karel,Porter,kporter5r@sakura.ne.jp,2,1.92,1.47,5.92,3,9
209,Alice,Yacobsohn,ayacobsohn5s@ezinearticles.com,1,1.15,9.70,9.10,2,10
210,Rey,Tamblyn,rtamblyn5t@linkedin.com,2,3.24,2.97,3.21,4,13
211,Robinet,Norville,rnorville5u@gov.uk,1,6.25,4.10,6.42,3,5
212,Erinna,Neville,eneville5v@flickr.com,3,8.66,4.25,6.60,5,2
213,Piper,Pithcock,ppithcock5w@npr.org,1,01.03,6.42,5.57,3,19
214,Mendy,Brilon,mbrilon5x@youtube.com,2,9.91,9.18,9.85,3,7
215,Broderic,Ebbutt,bebbutt5y@toplist.cz,2,1.36,6.78,,1,4
216,Isidor,Carah,icarah5z@posterous.com,2,5.30,6.78,04.03,5,13
217,Edward,Halesworth,ehalesworth60@ted.com,2,7.45,2.30,,5,18
218,Melisa,Coopey,mcoopey61@usatoday.com,1,7.96,05.03,5.23,3,2
219,Rickie,Hebblethwaite,rhebblethwaite62@tumblr.com,2,3.11,5.58,,3,3
220,Lombard,Izakson,lizakson63@shutterfly.com,2,2.92,6.86,6.25,2,17
221,Noah,Plose,nplose64@pbs.org,2,2.30,3.71,01.05,5,10
222,Currie,Claypoole,cclaypoole65@edublogs.org,2,8.43,5.43,6.21,2,12
223,Evyn,Hainey,ehainey66@alexa.com,2,1.99,08.04,2.45,5,6
224,Findley,Carey,fcarey67@creativecommons.org,2,3.00,1.93,7.95,3,12
225,Paul,Issacson,pissacson68@scientificamerican.com,2,7.66,3.24,04.02,4,10
226,Robbi,Coulter,rcoulter69@moonfruit.com,1,3.66,6.28,4.28,4,4
227,Lauryn,Batte,lbatte6a@list-manage.com,5,5.82,3.74,9.39,5,17
228,Channa,Grace,cgrace6b@google.com,1,03.06,05.06,1.16,2,7
229,Dolph,Buddock,dbuddock6c@bloomberg.com,2,3.61,5.81,06.03,5,9
230,Elissa,Uridge,euridge6d@studiopress.com,1,2.10,9.76,8.53,4,1
231,Kala,Beden,kbeden6e@apple.com,3,5.60,2.89,9.74,2,10
232,Tootsie,Simmons,tsimmons6f@people.com.cn,1,6.58,2.11,6.62,4,10
233,Sandro,Cotilard,scotilard6g@narod.ru,2,1.72,2.24,,5,2
234,Reynard,Merrigan,rmerrigan6h@woothemes.com,2,3.51,1.71,9.17,1,11
235,Pierce,Firebrace,pfirebrace6i@ameblo.jp,2,05.06,1.12,2.64,3,20
236,Garth,Francke,gfrancke6j@baidu.com,2,05.04,5.42,4.64,4,15
237,Wynne,Eagers,weagers6k@webnode.com,1,6.68,6.56,7.87,1,5
238,Joane,Lanfer,jlanfer6l@nyu.edu,1,5.72,4.41,4.79,5,9
239,Job,Quakley,jquakley6m@hatena.ne.jp,2,09.05,2.96,8.20,5,4
240,Raven,Setter,rsetter6n@omniture.com,1,4.32,6.41,,2,1
241,Durant,Rosenfarb,drosenfarb6o@bbb.org,2,5.68,04.01,4.11,1,8
242,Grange,Needham,gneedham6p@ehow.com,2,4.67,8.42,04.03,4,5
243,Edita,Wigelsworth,ewigelsworth6q@cbc.ca,1,6.44,7.18,2.73,3,10
244,Tess,Okenfold,tokenfold6r@acquirethisname.com,4,09.09,9.97,2.18,1,13
245,Vassily,Kleinstub,vkleinstub6s@stumbleupon.com,2,9.30,2.45,,3,7
246,Ban,Bennion,bbennion6t@nationalgeographic.com,4,5.86,8.77,8.32,4,5
247,Micheil,Hallgath,mhallgath6u@etsy.com,2,8.91,2.20,2.91,2,7
248,Danny,McFarlane,dmcfarlane6v@comsenz.com,2,3.23,8.62,2.18,1,10
249,Jemmie,Arnoldi,jarnoldi6w@si.edu,6,3.46,2.42,1.82,3,12
250,Hazel,Waddell,hwaddell6x@cloudflare.com,1,3.13,05.06,2.20,3,14
251,Crawford,Lygoe,clygoe6y@yellowbook.com,2,1.56,2.83,1.58,4,11
252,Barret,Burd,bburd6z@indiegogo.com,2,1.33,1.32,8.93,2,4
253,Ugo,Rubinchik,urubinchik70@stumbleupon.com,2,6.85,04.04,2.27,4,2
254,Cristy,Heatley,cheatley71@baidu.com,1,3.71,03.02,4.52,3,12
255,Phillipp,Claydon,pclaydon72@webnode.com,2,01.08,9.28,1.28,4,15
256,Rollins,Manueli,rmanueli73@ezinearticles.com,2,9.72,1.89,2.76,2,15
257,Bert,Cleghorn,bcleghorn74@desdev.cn,1,6.45,9.74,7.97,4,5
258,Gaston,Windibank,gwindibank75@hp.com,2,5.11,6.22,2.73,2,2
259,Tannie,Sleit,tsleit76@slashdot.org,2,2.73,7.68,7.12,4,1
260,Isidor,McGennis,imcgennis77@edublogs.org,2,5.63,2.62,1.32,2,2
261,Carleton,Stebbings,cstebbings78@loc.gov,2,3.77,5.81,1.78,5,17
262,Katheryn,Smithson,ksmithson79@163.com,1,7.77,5.48,1.27,2,20
263,Andromache,Clashe,aclashe7a@unicef.org,1,3.65,2.65,4.79,4,16
264,Sampson,Prewer,sprewer7b@paginegialle.it,2,9.84,7.79,6.21,2,4
265,Englebert,Shenton,eshenton7c@yahoo.co.jp,7,8.36,2.81,,1,19
266,Sabrina,Iaduccelli,siaduccelli7d@berkeley.edu,7,2.70,8.53,8.82,5,11
267,Mufinella,Darrington,mdarrington7e@symantec.com,1,8.41,3.24,9.69,4,14
268,Gillan,Gitthouse,ggitthouse7f@fc2.com,1,2.96,5.66,1.78,4,14
269,Magnum,Arnall,marnall7g@quantcast.com,2,8.46,1.28,9.99,1,12
270,Fredek,MacCoughan,fmaccoughan7h@un.org,2,2.11,4.32,9.18,5,7
271,Husain,O' Hogan,hohogan7i@php.net,2,1.73,2.99,7.22,3,7
272,Harlin,Danbye,hdanbye7j@dailymotion.com,2,2.66,3.87,6.99,4,7
273,Gay,Cassels,gcassels7k@wikia.com,1,09.01,3.00,2.44,5,15
274,Brenda,Pinock,bpinock7l@lycos.com,1,5.81,8.82,8.40,1,18
275,Martainn,Twydell,mtwydell7m@cafepress.com,2,6.13,9.78,5.92,3,8
276,Wallis,Suero,wsuero7n@tiny.cc,1,8.98,7.36,07.04,1,14
277,Hatty,Noke,hnoke7o@msn.com,1,5.86,6.23,3.76,3,11
278,Anthia,Castanho,acastanho7p@shinystat.com,1,2.83,09.02,8.71,1,1
279,Kamillah,Arr,karr7q@ocn.ne.jp,1,4.79,9.69,2.73,4,16
280,Rhoda,Lethley,rlethley7r@prweb.com,1,3.24,9.67,1.69,3,14
281,Bobinette,Fonteyne,bfonteyne7s@tumblr.com,1,4.25,4.12,6.29,3,11
282,Konstantin,Tomalin,ktomalin7t@xrea.com,2,2.60,3.49,06.07,4,3
283,Nanon,Nealon,nnealon7u@ca.gov,1,3.42,3.23,6.53,3,2
284,Loretta,Dufore,ldufore7v@whitehouse.gov,1,4.55,8.88,2.95,3,17
285,Caryl,Heigl,cheigl7w@bigcartel.com,8,3.19,2.00,07.07,5,7
286,Cazzie,Ghilks,cghilks7x@tmall.com,2,7.85,5.21,4.36,1,7
287,Alina,Hoodless,ahoodless7y@ucla.edu,1,5.90,7.23,,4,17
288,Titus,Blowers,tblowers7z@de.vu,2,4.17,02.03,,1,19
289,Faith,Micheau,fmicheau80@desdev.cn,3,7.71,8.81,8.87,1,17
290,Lorry,Byatt,lbyatt81@instagram.com,1,3.89,5.57,5.56,4,9
291,Hendrick,Lamas,hlamas82@usa.gov,2,2.59,02.06,,2,5
292,Karlen,Wheatcroft,kwheatcroft83@drupal.org,1,7.34,9.36,7.85,4,8
293,Emlynne,Busen,ebusen84@whitehouse.gov,1,7.50,9.84,5.23,1,14
294,Salli,Cookney,scookney85@opensource.org,1,7.00,5.23,9.14,3,3
295,Katerina,Dudderidge,kdudderidge86@discuz.net,1,1.65,3.61,4.76,5,3
296,Tedra,Adrian,tadrian87@xing.com,1,3.16,4.22,3.66,5,18
297,Janette,Cran,jcran88@devhub.com,1,3.21,4.10,9.89,5,15
298,Elva,Simmig,esimmig89@nifty.com,1,1.27,8.24,2.85,1,15
299,Tiffy,Batcock,tbatcock8a@mlb.com,1,6.19,8.19,01.05,3,6
300,Nalani,Goublier,ngoublier8b@phpbb.com,1,1.50,7.92,,3,20
301,Ansell,Conkling,aconkling8c@apple.com,2,6.88,2.57,4.51,1,16
302,Astra,Melledy,amelledy8d@moonfruit.com,1,9.62,3.67,6.51,3,2
303,Rozalin,Thornber,rthornber8e@japanpost.jp,4,6.25,8.74,7.53,5,2
304,Ema,Creebo,ecreebo8f@google.com.br,1,7.69,7.58,,4,9
305,Karim,de Aguirre,kdeaguirre8g@example.com,2,6.82,2.90,9.53,5,15
306,Teena,McShirie,tmcshirie8h@pen.io,1,9.24,9.11,,4,6
307,Jillana,Bonsale,jbonsale8i@slideshare.net,1,9.98,04.02,2.68,5,10
308,Lilli,Lembke,llembke8j@va.gov,1,2.39,5.52,5.22,5,10
309,Coralie,Boatright,cboatright8k@odnoklassniki.ru,1,9.87,3.78,5.69,3,9
310,Jeniffer,Franzini,jfranzini8l@yelp.com,1,5.92,7.74,3.54,2,15
311,Barnabe,Kytter,bkytter8m@webnode.com,2,8.80,9.44,6.00,3,3
312,Lorene,Eglington,leglington8n@xinhuanet.com,1,1.57,2.87,5.36,5,14
313,Roman,Tenby,rtenby8o@smh.com.au,2,4.91,6.97,8.47,3,6
314,Ekaterina,Culpin,eculpin8p@zdnet.com,1,9.83,4.28,,4,13
315,Babette,Spurge,bspurge8q@typepad.com,1,9.87,8.59,8.54,4,7
316,Antonius,Comolli,acomolli8r@de.vu,2,9.36,4.55,4.75,4,6
317,Davis,Kos,dkos8s@tiny.cc,2,2.17,2.23,5.38,4,16
318,Skipp,Latliff,slatliff8t@va.gov,2,01.03,1.10,,4,6
